keys,en-US,it-IT,da-DK,de-AT,nl-NL,sr-SP,mk-MK,bg-BG,hr-HR,ro-RO
common.free,free,libero/a,fri,frei,vrij,slobodno,,,slobodno,
common.CPU,CPU,processore,CPU,Prozessor,CPU,CPU,,,CPU,
common.ramMemory,RAM memory,memoria RAM,RAM hukommelse,RAM Speicher,RAM geheugen,RAM memorija,,,RAM memorija,
common.rootPartition,Root partition,Partizione root,,root-Partition,Root partitie,Root particija,,,Root particija,
common.searchFor,Search for...,Trova...,Søg efter...,Suchen...,Zoek naar ...,Potraga za...,Пребарување на ...,потърси за,Potraga za...,Caută...
common.select,select,seleziona,vælg,auswählen,Selecteren,izaberi,Одбери,избери,izaberi,Selectează
common.sessionExpired,Session expired,Sessione scaduta,Sessionen er udløbet,Sitzung abgelaufen,Sessie verlopen,Sesija istekla,Истечена сесија,сесията е изтекла,Sesija istekla,Sesiune expirată
common.submit,Submit,Invia,Indsend,Absenden,Indienen,Poslati,Поднеси,изпрати,Predati,Execută
common.submitSuccessed,Data submitted successfully,Dati inviati correttamente,Data sendt,Daten erfolgreich abgegeben,Gegevens met succes ingediend,Podaci uspješno poslati,Податоци успешно испратена,Data изпратена успешно,Podaci uspješno poslani,Date prezentate cu succes
common.submitError,Error during submit!,Errore durante l'invio dei dati!,Fejl ved din indsending!,Fehler bei der Übersendung!,Er is een fout opgetreden bij het indienen!,Greška tokom predaje,Грешка при поднесување,изпрати грешка,Greška tokom predaje,Eroare în timpul execuției!
common.success,Success,Successo,Succes,Erfolg,Succes,Uspjeh,успех,успех,Uspjeh,Succes
common.unknown,unknown,sconosciuto,ukendt,unbekannt,Onbekend,nepoznat,Непознат,непознат,nepoznat,Necunoscut
common.url,Url,Url,Url,Url,Url,Url,Url,Url,Url,Url
common.yes,Yes,Si,Ja,Ja,Ja,Da,Да,да,Da,Da
common.undefined,Undefined,Indefinito,Udefineret,undefiniert,Ongedefiniëerd,Nedefinisano,,,Nedefinirano,
common.notAtAll,None,Nessuno,Ingen,kein/-e/-es,Geen,Nimalo,,,Nimalo,
common.low,Low,Basso,Lavt,niedrig,Laag,Malo,,,Malo,
common.medium,Medium,Medio,Medium,mittel,Middel,Srednje,,,Srednje,
common.high,High,Alto,Højt,hoch,Hoog,Jako,,,Jako,
common.extreme,Extreme,Estremo,Ekstremt,extrem,Extreem,Ekstremno,,,Ekstremno,
common.noItemsFound,No items found,Nessun elemento trovato,Ingen emner fundet,Suchbegriff nicht gefunden,Geen items gevonden,Nema rezultata,,,Nema rezultata,
common.selectUsername,Select username,Seleziona un utente,,Username auswählen,Selecteer gebruikersnaam,Odaberite korisničko ime,,,Odaberite korisničko ime,
common.searchUsername,Search username...,Cerca un utente,,Usernamen suchen...,Zoek gebruikersnaam,Traži korisničko ime...,,,Traži korisničko ime...,
common.autoGenerated,Automatically generated,Generato automaticamente,,automatisch generiert,Automatisch gegenereerd,Automatski generirano,,,Automatski generirano,
delete.body,Are you sure you want to delete {name}?,Sei sicuro di voler eliminare {name}?,"Er du sikker på, at du vil slette {name}?",Wollen Sie {name} wirklich löschen?,Weet u zeker dat u {name} wilt verwijderen?,Jeste li sigurni da želite brisanje {name},Дали сте сигурни за бришењето на {name},тяло,Jeste li sigurni da želite brisanje {name},Sunteți sigur că doriți să ștergeți {name}?
delete.title,Deleting {name},Eliminazione di {name},Slet {name},{name} löschen,{name} aan het verwijderen,Brisanje {name},Бришење {name},заглавие,Brisanje {name},Ștergere {name}
devicesSetConfirm.body,Are you sure you want to add default devices set for selected sensing environment?,,,,,Jeste li sigurni da želite dodati inicijalni skup uređaja za odabrano senzorsko okruženje?,,,Jeste li sigurni da želite dodati inicijalni skup uređaja za odabrano senzorsko okruženje?,
devicesSetConfirm.title,Adding default devices set,Sto aggiungendo Il set di dispositivi di base,,,,Dodavanje inicijalnog skupa uređaja,,,Dodavanje inicijalnog skupa uređaja,
duallistbox.filterPlaceHolder,Filter,Filtro,Filter,Filtern,Filter,Filter,Филтер,филтър,Filter,Filtru
duallistbox.filterTextClear,show all,mostra tutto,vis alt,alle anzeigen,Laat alles zien,prikaži sve,Прикажи се,покажи всички,prikaži sve,Arată tot
duallistbox.infoText,Showing all [0],Mostrati tutti [0],Vis alt [0],alle anzeigen [0],Alles,Prikazuje sve,Прикажување на се,показване на всички,Prikazuje sve [0],Arătând toate [0]
duallistbox.infoTextEmpty,Empty list,Lista vuota,Tøm listen,leere Liste,Lege lijst,Prazna lista,Празна листа,плазен лист,Prazna lista,Listă goală
duallistbox.infoTextFiltered,"<span class=""label label-warning"">Filtered</span> [0] from [1]","<span class=""label label-warning"">Filtrati</span> [0] di [1]",????,"<span class=""label label-warning"">Gefiltert</span> [0] von [1]",Gefiltered,Filtrirano,Филтрирано,,Filtrirano,"<span class=""label label-warning"">Filtrat</span> [0] din [1]"
duallistbox.moveAllLabel,Move all,Sposta tutti,Flyt alt,Alle verschieben,Verplaats alles,Premjesti sve,Премести се,премести всички,Premjesti sve,Mută tot
duallistbox.moveSelectedLabel,Move selected,Sposta i selezionati,Flyt det valgte,Auswahl verschieben,Verplaats geselecteerde,Premjesti izabrane,Премести означено,премести маркираните,Premjesti izabrane,Mută cele selectate
duallistbox.removeAllLabel,Remove all,Rimuovi tutto,Fjern alt,Alle entfernen,Verwijder alles,Ukloni sve,Отстрани се,премахни всички,Ukloni sve,Înlătură tot
duallistbox.removeSelectedLabel,Remove selected,Rimuovi i selezionati,Fjern det valgte,Auswahl entfernen,Verwijder geselecteerde,Ukloni izabrane,Отстрани означено,премани маркираните,Ukloni izabrane,Înlătură cele selectate
home.applications,Applications,Applicazioni,Applikationer,Anwendungen,Applicaties,Programi,Апликации,програми,Programi,Aplicații
home.home,Home,Home,Hjem,Zuhause,Thuis,Kuća,Дома,начало,Kuća,Acasă
home.logout,Logout ({username}),Disconnetti ({username}),Log ud ({username}),({username}) ausloggen,Log uit,Odjavljivanje,Одјавување ,отписване,Odjavljivanje({username}),Deconectare ({username})
home.regions,Regions,Regioni,Regioner,Regionen,Regios,Regioni,Региони,региони,Regije,Regiuni
home.sensingEnvs,Sensing environments,Ambienti di rilevamento,Registrerer omgivelserne,Messumgebungen,Meet omgevingen,Senzorsko okruženje,Сензорски средини,сензорна среда,Senzorsko okruženje,Detectare mediu
home.devices,Devices,Device,Device,Gerät,Apparaten,Uređaji,,,Uređaji,
home.services,Services,Servizi,Service,Services,Diensten,Servisi,Сервиси,услуги,Servisi,Servicii
home.users,Users,Utenti,Brugere,Nutzer,Gebruikers,Korisnici,Корисници,потребители,Korisnici,Utilizatori
language.available,We are available in {nlang} languages,Sono disponibili {nlang} lingue,Vi er tilgængelige i {nlang} sprog,Sie können {} verschiedene Sprachen auswählen,We zijn beschikbaar in {nlang} talen,Dostupni smo u {nlang} jezicima,,,Dostupni smo u  {nlang} jezicima,
language.changeLanguage,Change language,Cambia la lingua,Skift sprog,Sprache ändern,Verander taal,Promjeni jezik,Промени јазик,смяна на език,Promjeni jezik,Schimbă limba
language.chooseLanguage,Choose a language,Scegli una lingua,Vælg et sprog,Sprache auswählen,Kies een taal,Izaberi jezik,Изберете јазик,Изберете език,Izaberi jezik,Alege o limbă
language.plusMore,plus {nlang} more,più altre {nlang},samt mere,und {} mehr,en nog {nlang} talen,Prikaži još,,,Prikaži još,
language.search,Search languages...,Trova lingue...,Søg efter sprog...,Sprachen suchen...,Zoeken talen...,Traži jezike...,Барај јазици...,Търсене езици...,Traži jezici...,Căutare limbi...
login.password,Password,Password,Password,Passwort,Wachtwoord,Lozinka,Лозинка,парола,Lozinka,Parolă
login.rememberMe,Remember me,Ricordami,Husk mig,Erinnere mich,Onthoud mij,Zapamti me,Запомни ме,запомни ме,Zapamti me,Ține-mă minte
login.signIn,Sign in,Accedi,Log ind,einschreiben,Inloggen,Prijavi se,Пријави се,вписване,Prijavi se,Conectare
login.title,eWALL Portal sign in,Accesso eWALL Portal,eWall Portal log ind ,eWALL Portal Einschreibung,eWALL portaal inlog,Prijavljivanje na eWall portal,Пријавување на eWALL портал,вписване в eWall,Prijavljivanje na eWall portal,Conectare la portalul eWALL
regions.addNew,Add new region,Aggiungi nuova regione,Tilføj en ny region,Neue Region hinzufügen,Voeg nieuwe regio toe,Dodaj novi region,Додади нов регион,добави нов регион,Dodaj novu regiju,Adaugă o nouă regiune
regions.all,All,Tutte,Alt,Alle,Alles,Sve,Сите,всички,Sve,Tot
regions.detail,Region detail,Dettaglio regione,Detaljer om regionen,Details der Region,Regio details,Detalji o regionu,Детали за регион,Подробносит за регион,Detalji o regiji,Detaliu regiune
regions.enterName,Enter region name,Inserisci il nome della regione,Indtast navnet på regionen,Namen der Region eingeben,Voeg regio naam in,Unesi naziv regiona,Внеси име на регион,въведи име на регион,Unesi naziv regije,Introdu numele regiunii
regions.name,Region name,Nome regione,Regionens navn,Name der Region,Regio naam,Naziv regiona,Име на регион,име на регион,Naziv regije,Numele regiunii
regions.region,Region,Regione,Region,Region ,Regio,Regioni,Регион,регион,Regije,Regiune
regions.selectRegion,Select region,Seleziona la regione,Vælg region,Wählen Sie die Region,Selecteer regio,Izaberi region,Избери регион,избери регион,Izaberi regiju,Selectează regiunea
sensingEnvs.addNew,Add new,Aggiungi nuovo,Tilføj ny ,Neue hinzufügen,Voeg nieuwe toe,Dodaj novi,Додади нов,добави нов регион,Dodaj novi,Adaugă nou
sensingEnvs.detail,Sensing environment detail,Dettaglio dell'ambiente di rilevamento,Registrerer deltaljer om omgivelserne,Umgebungsdetails messen,Meet omgeving details,Detalji senzorskog okruženja,Детали за сензорската средина,детайли за сензорната среда,Detalji senzorskog okruženja,Detaliu detectare mediu
sensingEnvs.enabled,Enabled,Abiilitato,,,,Omogućen,,,Omogućen,
sensingEnvs.enterId,Enter ID,Inserisci ID,Indtast ID,ID eingeben,Vul ID in,Unesi ID,Внеси ID,въведи ID,Unesi ID,Introdu ID
sensingEnvs.enterName,Enter sensing environment name,Inserisci il nome della rilevazione ambientale,"Indtast navnet på det lokale, som du befinder dig i",Name der Sensorumgebung eingeben,,Unesi ime senzorskog okruženja,,,Unesi ime senzorskog okruženja,
sensingEnvs.name,Name,Nome,Navn,Name,,Naziv,,,Naziv,
sensingEnvs.uniqueName,Unique name,Nome univoco,Unikt navn,eindeutiger Name,,Jedinstveni naziv,,,Jedinstveni naziv,
sensingEnvs.uuid,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID
sensingEnvs.selectUser,Select a user from list below,Seleziona un utente dalla lista sottostante,Vælg en bruger fra listen herunder,Wählen Sie einen Nutzer aus der Liste,Selecteer een gebruiker uit onderstaande lijst,Izaberi korisnika sa donje liste,Одбери корисник од листата подолу,избери потребител от листа ,Izaberi korisnika sa donje liste,Selectează un utilizator din lista de mai jos
sensingEnvs.user,Associated to user,Associato all'utente,Forbundet til brugeren,dem Nutzer zugewiesen,Geassocieerd met gebruiker,Pridruži korisniku,Придружи на корисникот,асоцииран потребител,Pridruži korisniku,Asociate utilizatorului
sensingEnvs.status,Sensing environment status,Stato dell'ambiente di rilevamento,Opfanger hvad du foretager dig,Status der Messumgebung,,Status,,,Status,
sensingEnvs.configuration,Sensing environment configuration,Configurazione dell'ambiente di rilevamento,,Konfiguration der Messumgebung ,,Konfiguracija,,,Konfiguracija,
sensingEnvs.registrationStatus,Registration status,Stato della registrazione,Registreringsstatus,Registrierungsstatus,,Status registracije,,,Status registracije,
sensingEnvs.lastModifiedTime,Last modified time,Ora dell'ultima modifica,Sidste ændrede status,Zeitpunkt der letzten Änderung,,Vrijeme zadnje promjene,,,Vrijeme zadnje promjene,
sensingEnvs.creationTime,Creation time,Ora di creazione,Sidste ændringstidspunkt,Erstellungszeit,,Datum stvaranja,,,Datum stvaranja,
sensingEnvs.proxyStatus,Proxy status,Stato del proxy,,Proxy-Status,,Status posrednika,,,Status posrednika,
sensingEnvs.indoorPlaces,Indoor places,Posti al chiuso,Indendørs placering,Innenplätze,,Unutrašnji prostori,,,Unutarnji prostori,
sensingEnvs.indoorPlaceArea,Indoor place area,Area al chiuso,Område indenfor,Innenplatzbereiche,,Područje unutrašnjeg prostora,,,Područje unutarnjeg prostora,
sensingEnvs.deletePlace,Delete place,Cancella posto,Slet placering,Platz löschen,,Ukloni prostor,,,Ukloni prostor,
sensingEnvs.addPlace,Add place,Aggiungi posto,Tilføj placering,Platz hinzufügen,,Dodaj prostor,,,Dodaj prostor,
sensingEnvs.addingIndoorPlaceTitle,Adding sensing environment indoor place,Aggiungi una sensorizzazione di ambiente di posto al chiuso,,Messumgebungs-Innenplatz hinzufügen,,Dodavanje unutrašnjeg prostora u senzorsko okruženje,,,Dodavanje unutarnjeg prostora u senzorsko okruženje,
sensingEnvs.errorAddingPlaceNotUnique,Indoor places names must be unique,Il nome del posto al chiuso deve essere univoco,,Innenplatznamen müssen unverwechselbar sein,,Imena unutrašnjih prostora moraju biti jedinstvena,,,Imena unutarnjih prostora moraju biti jedinstvena,
sensingEnvs.errorLongPollingDisabled,Error while retrieving configuration because of long polling mechanism is disabled for chosen sensing environment.,,,,,Greška prilikom dohvaćanja konfiguracije zato što je long polling mehanizam onemogućen za odabrano senzorsko okruženje.,,,Greška prilikom dohvaćanja konfiguracije zato što je long polling mehanizam onemogućen za odabrano senzorsko okruženje.,
sensingEnvs.version,Version,Versione,,,,,,,Verzija,
devices.sensEnvUuid,Sensing environment ID,ID ambiente sensorizzato,,Messumgebungs-ID,,Senzorsko okruženje ID,,,Senzorsko okruženje ID,
devices.enterSensEnvUuid,Enter sensing environment ID,Inserire ID ambiente sensorizzato,,Messumgebungs-ID hinzufügen,,Unesi ID senzorskog okruženja,,,Unesi ID senzorskog okruženja,
devices.type,Type,Tipo,Type,Typ,Type,Tip,Тип,Тип,Tip,Tip
devices.addNew,Add new,Aggiungi nuovo,Tilføj ny ,Neue hinzufügen,Voeg nieuwe toe,Dodaj novi,Додади нов,добави нов регион,Dodaj novi,Adaugă nou
devices.addDevicesSet,Add devices set,Aggiungi set di dispositivi,,,,Dodaj skup uređaja,,,Dodaj skup uređaja,
devices.detail,Device detail,Dettagli device,Detaljer om device,Gerätedetail,,Detalji uređaja,,,Detalji uređaja,
devices.uuid,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID
devices.name,Name,Nome,Navn,Name,,Naziv,,,Naziv,
devices.serialNumber,Serial number,Numero di serie,Serienavn,Seriennummer,,Serijski broj,,,Serijski broj,
devices.manufacturerName,Manufacturer name,Nome del produttore,,Name des Herstellers,,Naziv proizvođača,,,Naziv proizvođača,
devices.manufacturerDescription,Manufacturer description,Descrizione del produttore,,Beschreibung des Herstellers,,Opis proizvođača,,,Opis proizvođača,
devices.actuator,Actuator,Attuatore,,Aktuator,,Pokretač,,,Pokretač,
devices.sensor,Sensor,Sensore,Sensorer,Sensor,,Senzor,,,Senzor,
devices.wearable,Wearable,Indossabile,Sensorer,Wearable,,Nosivo,,,Nosivo,
devices.enterName,Enter name,Inserire il nome,Indtast dit navn,Namen eingeben,,Unesi naziv,,,Unesi naziv,
devices.indoorPlaceName,Indoor place name,Nome di posto al chiuso,,Name des Innenplatzes,,Naziv unutrašnjeg prostora,,,Naziv unutrašnjeg prostora,
devices.enterSerialNumber,Enter serial number,Inserire il numero di serie,Indtast serienummer,Seriennummer eingeben,,Unesi serijski broj,,,Unesi serijski broj,
devices.enterManufacturerName,Enter manufacturer name,Inserire il nome del fabbricante,,Name des Herstellers eingeben,,Unesi naziv proizvođača,,,Unesi naziv proizvođača,
devices.enterManufacturerDescription,Enter manufacturer description,Inserire la descrizione del fabbricante,,Beschreibung des Herstellers eingeben,,Unesi opis proizvođača,,,Unesi opis proizvođača,
devices.enterIndoorPlaceName,Enter indoor place name,Inserire il nome di posto al chiuso,,Name des Innenplatzes eingeben,,Unesi naziv unutrašnjeg prostora,,,Unesi naziv unutrašnjeg prostora,
devices.lightActuator,Light actuator,Attuatore per la luce,,Lichtaktuator,,Pokretač svjetla,,,Pokretač svjetla,
devices.powerActuator,Power actuator,Attuatore per la potenza,,Energieaktuator,,Pokretač snage,,,Pokretač snage,
devices.furnitureSensor,Furniture sensor,Furniture sensor,Furniture sensor,Furniture sensor,Furniture sensor,Senzor namještaja,Furniture sensor,Furniture sensor,Senzor namještaja,Furniture sensor
devices.audioSensor,Audio sensor,Audio sensor,Audio sensor,Audio sensor,Audio sensor,Audio senzor,Audio sensor,Audio sensor,Audio senzor,Audio sensor
devices.visualSensor,Visual sensor,Visual sensor,Visual sensor,Visual sensor,Visual sensor,Vizualni senzor,Visual sensor,Visual sensor,Vizualni sensor,Visual sensor
devices.vitalsSensor,Vitals sensor,Vitals sensor,Vitals sensor,Vitals sensor,Vitals sensor,Senzor vitalnih parametara,Vitals sensor,Vitals sensor,Senzor vitalnih parametara,Vitals sensor
devices.activitySensor,Activity sensor,Activity sensor,Activity sensor,Activity sensor,Activity sensor,Senzor aktivnosti,Activity sensor,Activity sensor,Senzor aktivnosti,Activity sensor
devices.environmentalSensor,Environmental sensor,Sensore ambientale,Environmental sensor,Umbebungssensor,Environmental sensor,Senzor okoline,Environmental sensor,Environmental sensor,Senzor okoline,Environmental sensor
devices.powerSensor,Power sensor,Sensore di potenza,Power sensor,Energiesensor,Power sensor,Senzor snage,Power sensor,Power sensor,Senzor snage,Power sensor
services.addNew,Add new service,Aggiungi nuovo servizio,Tilføj en ny service,neues Service hinzufügen,Voeg nieuwe dienst toe,Dodaj novu uslugu,Додади нов сервис,добави нова услуга,Dodaj novu uslugu,Adaugă serviciu nou
services.detail,Service detail,Dettaglio servizio,Detaljer om service,Servicedetails,Dienst detail,Detalji usluge,Детали за сервисот,детайли за услугата,Detalji usluge,Detaliu serviciu
services.endpoint,Endpoint,Terminale,Slutpunkt,Endpunkt,Eindpunt,Krajnja tačka,Крајна точка,крайна точка,Krajnja točka,Punct final
services.enterEndpoint,Enter endpoint,Inserisci il terminale,Indtast slutpunkt,Endpunkt eingeben,Voeg eindpunt in,Unesi krajnju tačku,Внеси крајна точка,въведете крайна точка,Unesi krajnju točku,Introdu punct final
services.enterName,Enter service name,Inserisci il nome del servizio,Indtast service navn,Servicenamen eingeben,Voeg dienst naam in,Unesi naziv usluge,Внеси име на сервис,въведете име на услуга,Unesi naziv usluge,Introdu nume serviciu
services.name,Service name,Nome servizio,Service navn,Name des Service,Dienst naam,Naziv usluge,Име на сервис,име на услуга,Naziv usluge,Nume serviciu
users.accountEnabled,Account enabled,Utente abilitato,Konto aktiveret,Nutzerkonte aktiviert,Account geactiveerd,Nalog je omogućen,Корисничкиот профил е овозможен,аканута ативиран,Nalog je omogućen,Cont activat
users.addNew,Add new user,Aggiungi nuovo utente,TIlføj ny bruger,Neuen Nutzer/ User hinzufügen,Voeg nieuwe gebruiker toe,Dodaj novog korisnika,Додади нов корисник,добавяне на нов потребител,Dodaj novog korisnika,Adaugă utilizator nou
users.address,Address,Indirizzo,Adresse,Adresse,Adres,Adresa,Адреса,адрес,Adresa,Adresă
users.age,Age,Età,Alder,Alter,Leeftijd,Starost,Возраст,възраст,Starost,Vârstă
users.all,All,Tutti,Alt,Alle,Alles,Sve,Сите,всички,Sve,Tot
users.assignedCaregivers,Assigned caregivers,Assistenti assegnati,Tildelt omsorgsperson,zugeteilte Betreuungspersonen,Toegewezen zorgverleners,Dodijeljeni staratelji,Доделени старатели,вписани грижещи се,Dodjeljeni staratelji,Îngrijitor desemnat
users.availableApplications,Available applications,Applicazioni disponibili,Tilgængelige applikationer,verfügbare Anwendungen,Beschikbare applicaties,Raspoloživi programi,Расположливи апликации,налични приложения,Raspoloživi programi,Aplicații disponibile
users.availableCaregivers,Available caregivers,Assistenti disponibili,Tilgængelige omsorgspersoner,verfügbare Betreuungspersonen,Beschikbare zorgverleners,Raspoloživi staratelji,Расположливи старатели,налични грижещи се,Raspoloživi staratelji,Îngrijitori disponibili
users.birthday,Birthday,Data di nascita,Fødselsdag,Geburtstag,Verjaardag,Datum rođenja,Роденден,дата на раждане,Datum rođenja,Zi de naștere
users.birthplace,Birthplace,Luogo di nascita,Fødselssted ,Geburtsort,Geboorteplaats,Mjesto rođenja,Место на раѓање,месторождение,Mjesto rođenja,Locul nașterii
users.caregivers,Caregivers,Assistenti,Omsorgsperson,Betreuungspersonen,Zorgverleners,Staratelji,Старатели,грижещи се,Staratelji,Îngrijitori
users.changePassword,Change the current password,Cambia la password corrente,Ændre det nuværende password,Aktuelles Passwort ändern,,Promijeni lozinku,,,Promijeni lozinku,
users.city,City,Città,By,Stadt,Stad,Grad,Град,град,Grad,Oraș
users.detail,User detail,Dettaglio utente,Detaljer om bruger,Details zum Nutzer,Detail,Detalji korisnika,Детали за корисникот,детайли за потребителя,Detalji korisnika,Detaliu utilizator
users.email,Email,Email,Email ,E-Mail,Email,Email,Електронска пошта,имейл,Email,Email
users.enabledApplications,Enabled applications,Applicazioni abilitate,Aktiverede applikationer,aktivierte Anwendungen,Geactiveerd applicaties,Dostupni programi,Овозможени апликации,аквивни приложения,Dostupni programi,Aplicații active
users.enterAddress,Enter address,Inserisci indirizzo,Indtast adresse,Adresse eingeben,Voer adres in,Unesi adresu,Внеси адреса,въведете адрес,Unesi adresu,Introdu adresa
users.enterAge,Enter age,Inserisci l'età,Indtast alder,Alter eingeben,Voer leeftijd in,Unesi godine,Внеси возраст,въведете години,Unesi godine,Introdu vârsta
users.enterBirthday,Enter birthday,Inserisci data di nascita,Indtast fødselsdag,Geburtstag eingeben,Voer verjaardag in,Unesi datum rođenja,Внеси роденден,въведете дата на раждане,Unesi datum rođenja,Introdu ziua nașterii
users.enterBirthplace,Enter birthplace,Inserisci luogo di nascita,Indtast fødselssted,Geburtsort eingeben,Voer geboorteplaats in,Unesi mjesto rođenja,Внеси место на раѓање,въведете място на раждане,Unesi mjesto rođenja,Introdu locul nașterii
users.enterCity,Enter city,Inserisci città,Indtast by ,Stadt eingeben,Voer stad in,Unesi grad,Внеси град,въведете град,Unesi grad,Introdu oraș
users.enterEmail,Enter email,Inserisci email,Indtast email,E-Mail-Adresse eingeben,Voer email in,Unesi email,Внеси електронска пошта,въведете имейл,Unesi email,Introdu email
users.enterFirstName,Enter first name,Inserisci il nome,Indtast fornavn,Vornamen eingeben,Voer voornaam in,Unesi ime,Внеси име,въведете собствено име,Unesi ime,Introdu prenume
users.enterLastName,Enter last name,Inserisci il cognome,Indtast efternavn,Nachnamen eingeben,Voer achternaam in,Unesi prezime,Внеси презиме,въведете фамилия,Unesi prezime,Introdu nume de familie
users.enterMobile,Enter mobile,Inserisci numero di cellulare,Indtast dit mobilnummer,mobile Telefonnummer eingeben,Voer mobiel telefoonnummer in,Unesi broj mobilnog telefona,Внеси мобилен телефон,въведете мобилен телефон,Unesi broj mobilnog telefona,Introdu număr de telefon mobil
